seed holistic gca gap_pp
1 0.588789 0.590190 0.1401
2 0.585285 0.578979 -0.6306
3 0.591592 0.581281 -1.0310
4 0.585686 0.588188 0.2503
5 0.587588 0.594595 0.7007
6 0.574975 0.578879 0.3904
7 0.587087 0.585085 -0.2002
8 0.584685 0.586987 0.2302
9 0.592593 0.582282 -1.0310
10 0.583684 0.585986 0.2302
11 0.594394 0.584685 -0.9710
12 0.587988 0.576977 -1.1011
13 0.577177 0.583984 0.6807
14 0.587988 0.581582 -0.6406
15 0.581582 0.581481 -0.0100
16 0.584885 0.580981 -0.3904
17 0.587588 0.585886 -0.1702
18 0.589890 0.591191 0.1301
19 0.588989 0.587688 -0.1301
20 0.575075 0.589189 1.4114
